"long","lat","country"
-53.9224,-27.4308,BR
-41.9427,-20.2287,BR
-47.0092,-21.4438,BR
-49.9025,-23.4222,BR
-46.2705,-23.8566,BR
-39.3005,-12.0691,BR
-51.5167,-29.1667,BR
-47.1516,-18.4046,BR
-43.327,-22.7882,BR
-52.5532,-31.8432,BR
-47.7709,-23.659,BR
-49.8654,-16.5801,BR
-48.547,-22.4751,BR
-38.4858,-12.8665,BR
-49.2916,-25.5026,BR
-35.2564,-7.846,BR
-43.2192,-22.8305,BR
-47.0826,-21.814,BR
-43.2192,-22.8305,BR
-48.8215,-22.6726,BR
-43.2192,-22.8305,BR
-34.8714,-7.1194,BR
-52.9343,-26.2146,BR
-46.8309,-23.5149,BR
-48.2861,-15.7661,BR
-46.7887,-23.5217,BR
-50.292,-20.2976,BR
-41.1347,-20.3397,BR
-38.4294,-6.7185,BR
-43.4054,-21.0193,BR
-38.3273,-12.8425,BR
-49.1117,-27.2046,BR
-44.3164,-20.0542,BR
-34.9503,-8.0102,BR
-37.4972,-6.3258,BR
-50.2714,-26.1651,BR
-38.0148,-6.4135,BR
-47.293,-22.7115,BR
-44.353,-19.9598,BR
-49.2542,-13.3701,BR
-76,24.25,BS
-77.35,25.0833,BS
24,-22,BW
28,53,BY
28,53,BY
27.5667,53.9,BY
30.7591,52.4054,BY
27.5667,53.9,BY
28.7856,55.4879,BY
24.3564,52.2138,BY
28,53,BY
-88.75,17.25,BZ
-88.75,17.25,BZ
-79.3623,43.6547,CA
-73.5848,45.4995,CA
-97.1401,49.898,CA
-73.5794,45.5063,CA
-73.8736,45.3161,CA
-79.3716,43.6319,CA
-73.5794,45.5063,CA
-79.4816,43.7987,CA
-73.5794,45.5063,CA
-71.2453,46.7933,CA
-79.4002,43.6426,CA
-79.3716,43.6319,CA
-71.2453,46.7933,CA
-75.7518,45.2691,CA
-113.9726,50.9266,CA
-73.6667,45.5167,CA
-73.6389,45.5899,CA
-79.7036,43.2183,CA
-73.5703,45.4994,CA
-73.5501,45.4594,CA
-63.696,44.7764,CA
-123.5359,48.3829,CA
-79.4343,43.6653,CA
-73.6242,45.5365,CA
-73.5007,45.5379,CA
-73.5023,45.5183,CA
-79.3294,43.7522,CA
-111.4398,56.752,CA
-79.7036,43.2183,CA
-73.6326,45.4904,CA
-83.0276,42.2007,CA
-79.0167,48.25,CA
-114.2017,51.0927,CA
-79.3716,43.6319,CA
-73.5848,45.4995,CA
-79.3716,43.6319,CA
-123.1158,49.2866,CA
-79.3732,43.6836,CA
-79.442,43.8678,CA
-78.8771,43.8852,CA
-79.7564,43.4437,CA
-116.0333,50.5,CA
-63.7876,46.3959,CA
-73.761,45.5355,CA
-79.7271,43.7387,CA
-123.3026,48.4496,CA
-67.522,48.8286,CA
-119.4897,49.8956,CA
-79.4422,43.7489,CA
-79.3804,43.6667,CA
-79.3716,43.6319,CA
-73.2442,45.6037,CA
-79.6296,43.5752,CA
-79.3644,43.7124,CA
-79.3716,43.6319,CA
-79.7616,43.6885,CA
-79.3716,43.6319,CA
-79.3716,43.6319,CA
-75.7405,45.3867,CA
-120.5477,50.5583,CA
-113.6363,53.632,CA
-79.3716,43.6319,CA
-79.5964,43.7137,CA
-123.1976,49.2666,CA
-79.3716,43.6319,CA
-73.6091,45.5332,CA
-73.561,45.5892,CA
-100.0502,51.1494,CA
-79.188,43.8113,CA
-122.824,49.1049,CA
-79.5952,43.7779,CA
-73.5794,45.5063,CA
-73.5848,45.4995,CA
-73.6186,45.6128,CA
-79.4309,43.6922,CA
15.3,-4.3,CD
8.1551,47.1449,CH
8.5546,47.3664,CH
8.1551,47.1449,CH
7.9316,47.4979,CH
6.5881,46.5399,CH
8.9182,46.0289,CH
8.5174,47.1724,CH
8.1551,47.1449,CH
8.5295,47.1963,CH
8.9447,46.0192,CH
-5,8,CI
-5,8,CI
-4.0124,5.3072,CI
-70.7444,-34.1708,CL
-70.6503,-33.4378,CL
-70.6653,-33.4513,CL
-70.5333,-33.4833,CL
-73.0487,-36.8335,CL
-70.6503,-33.4378,CL
-70.6653,-33.4513,CL
-70.5167,-33.35,CL
-71.5984,-33.0447,CL
-70.6653,-33.4513,CL
-70.6503,-33.4378,CL
-71.5131,-31.9117,CL
-70.3333,-27.3667,CL
-73.0487,-36.8335,CL
-73.1167,-36.7167,CL
-71.5131,-31.9117,CL
-73.0487,-36.8335,CL
-72.35,-37.4667,CL
-70.6,-33.4,CL
-73.0833,-40.2833,CL
-71.2333,-34.9833,CL
-73.1667,-40.9167,CL
-70.6503,-33.4378,CL
-70.6653,-33.4513,CL
12,6,CM
12,6,CM
9.7,4.0503,CM
11.5167,3.8667,CM
12,6,CM
120.1619,30.294,CN
116.3883,39.9289,CN
118.7778,32.0617,CN
113.5325,34.6836,CN
116.3889,39.9288,CN
118.0819,24.4798,CN
113.7266,34.7725,CN
116.3889,39.9288,CN
113.1117,28.1783,CN
113.25,23.1167,CN
106.5531,29.5569,CN
121.4012,31.0449,CN
108.9294,34.2598,CN
114.2665,30.5856,CN
113.7266,34.7725,CN
114.2665,30.5856,CN
113.1117,28.1783,CN
120.1619,30.294,CN
114.1333,22.5333,CN
116.3883,39.9289,CN
118.7778,32.0617,CN
115.5525,29.8506,CN
108.3146,22.8137,CN
120.1619,30.294,CN
114.958,27.1177,CN
104.0667,30.6667,CN
116.3883,39.9289,CN
121.4012,31.0449,CN
116.3883,39.9289,CN
123.4312,41.7806,CN
117.1726,39.1423,CN
113.5325,34.6836,CN
113.25,23.1167,CN
113.7266,34.7725,CN
120.1619,30.294,CN
115.9333,28.55,CN
113.5325,34.6836,CN
104.0667,30.6667,CN
115.9333,28.55,CN
113.1117,28.1783,CN
120.3694,36.066,CN
118.0819,24.4798,CN
113.7266,34.7725,CN
115.9333,28.55,CN
106.2731,38.4681,CN
115.9333,28.55,CN
117.2865,31.8642,CN
126.65,45.75,CN
113.7266,34.7725,CN
122.1136,37.5091,CN
114.2665,30.5856,CN
108.9294,34.2598,CN
113.7266,34.7725,CN
113.7266,34.7725,CN
112.4708,37.7269,CN
108.9294,34.2598,CN
113.25,23.1167,CN
113.5325,34.6836,CN
113.25,23.1167,CN
113.5325,34.6836,CN
108.9294,34.2598,CN
117.1726,39.1423,CN
113.7266,34.7725,CN
113.7266,34.7725,CN
125.3228,43.88,CN
113.7266,34.7725,CN
113.7266,34.7725,CN
108.7026,34.3378,CN
102.313,24.2267,CN
120.3719,36.0986,CN
116.3883,39.9289,CN
110.3432,20.0486,CN
117.0104,36.6621,CN
113.7266,34.7725,CN
113.7266,34.7725,CN
118.7778,32.0617,CN
126.65,45.75,CN
113.7266,34.7725,CN
121.4331,28.6627,CN
120.1619,30.294,CN
87.6005,43.801,CN
113.5325,34.6836,CN
117.6583,31.8667,CN
121.4012,31.0449,CN
113.7266,34.7725,CN
113.7266,34.7725,CN
120.3719,36.0986,CN
113.7266,34.7725,CN
118.7778,32.0617,CN
120.1619,30.294,CN
121.6022,38.9122,CN
113.7266,34.7725,CN
117.1726,39.1423,CN
106.7167,26.5833,CN
113.7266,34.7725,CN
118.0819,24.4798,CN
120.3719,36.0986,CN
113.7266,34.7725,CN
120.3719,36.0986,CN
104.6481,30.1211,CN
113.25,23.1167,CN
113.7266,34.7725,CN
113.7266,34.7725,CN
120.3719,36.0986,CN
116.3889,39.9288,CN
120.5954,31.3041,CN
116.3889,39.9288,CN
121.4012,31.0449,CN
117.2865,31.8642,CN
107.5167,26.2667,CN
123.4312,41.7806,CN
116.6947,39.5097,CN
113.0697,23.0312,CN
113.0697,23.0312,CN
113.5325,34.6836,CN
117.8667,31.6,CN
116.9969,32.6264,CN
120.3719,36.0986,CN
104.0667,30.6667,CN
120.1619,30.294,CN
113.7266,34.7725,CN
122.99,41.1236,CN
109.8222,40.6522,CN
118.4917,37.4627,CN
113.5325,34.6836,CN
120.3719,36.0986,CN
113.7266,34.7725,CN
113.5325,34.6836,CN
112.4536,34.6836,CN
104.0667,30.6667,CN
113.7266,34.7725,CN
117.12,36.1853,CN
113.7266,34.7725,CN
108.1278,34.6778,CN
