sourceaddress,destinationaddress,destinationport,geocity,countrycode
"80.82.77.139","162.92.128.179","70","UNKNOWN","NL"
"162.92.191.86","8.253.139.248","80","UNKNOWN","US"
"66.97.162.15","162.92.181.77","443","UNKNOWN","US"
"169.61.185.74","162.92.181.3","8790","UNKNOWN","US"
"172.19.5.203","35.170.102.210","443","unknown","unknown"
"172.20.8.93","216.229.4.69","123","unknown","unknown"
"92.118.160.29","162.92.181.71","49502","UNKNOWN","LT"
"172.19.4.213","104.123.204.27","443","unknown","unknown"
"71.229.97.238","162.92.181.77","443","Miami","US"
"89.248.163.150","162.92.128.189","139","UNKNOWN","NL"
"98.121.101.152","162.92.181.11","443","High Point","US"
"89.248.168.112","162.92.128.139","9080","UNKNOWN","NL"
"89.248.163.150","162.92.128.225","139","UNKNOWN","NL"
"162.92.191.88","23.44.136.86","443","UNKNOWN","US"
"200.194.26.41","162.92.181.77","443","Mexico City","MX"
"92.63.197.83","162.92.128.173","3415","UNKNOWN","RU"
"162.92.191.88","35.160.220.147","443","UNKNOWN","US"
"172.20.11.82","17.253.26.125","123","unknown","unknown"
"34.96.130.2","162.92.128.129","137","UNKNOWN","US"
"162.92.191.88","52.178.17.2","443","UNKNOWN","US"
"89.248.165.52","162.92.128.212","8086","UNKNOWN","NL"
"162.92.191.83","20.50.80.210","443","UNKNOWN","US"
"68.83.168.212","162.92.181.77","443","Wilmington","US"
"162.92.191.71","38.229.52.9","123","UNKNOWN","US"
"172.19.5.56","52.96.190.194","443","unknown","unknown"
"162.92.191.81","157.240.2.32","443","UNKNOWN","US"
"92.63.197.83","162.92.128.8","3403","UNKNOWN","RU"
"162.92.191.82","146.112.43.128","443","UNKNOWN","US"
"162.92.191.80","13.69.116.104","443","UNKNOWN","US"
"76.217.89.3","162.92.181.77","443","Miami","US"
"92.63.197.83","162.92.128.144","3392","UNKNOWN","RU"
"162.92.191.87","146.112.43.128","443","UNKNOWN","US"
"68.191.146.249","162.92.181.77","443","Saint Michael","US"
"162.12.221.66","162.92.181.77","443","Fort Lauderdale","US"
"104.206.128.42","162.92.128.224","111","Las Vegas","US"
"74.134.181.35","10.244.8.166","80","Lima","US"
"204.201.160.246","162.92.181.77","443","UNKNOWN","US"
"92.118.160.9","162.92.181.53","8008","UNKNOWN","LT"
"162.92.191.85","104.208.16.90","443","UNKNOWN","US"
"24.98.240.221","162.92.181.77","80","Alpharetta","US"
"13.56.108.119","10.244.8.217","80","San Jose","US"
"162.92.191.84","20.42.73.25","443","UNKNOWN","US"
"166.181.83.91","162.92.181.77","443","Ankeny","US"
"73.156.155.5","162.92.181.77","443","Bonita Springs","US"
"76.235.220.65","162.92.181.77","443","Reno","US"
"69.31.138.101","10.244.8.217","443","UNKNOWN","US"
"172.19.4.139","44.237.170.186","443","unknown","unknown"
"200.68.186.212","162.92.181.77","443","UNKNOWN","MX"
"24.27.72.235","162.92.177.7","443","Carrollton","US"
"162.92.191.86","20.50.80.209","443","UNKNOWN","US"
"172.19.4.101","17.248.188.112","443","unknown","unknown"
"172.19.5.242","20.42.65.88","443","unknown","unknown"
"173.92.0.120","162.92.181.77","443","Charlotte","US"
"165.225.113.31","162.92.181.11","443","UNKNOWN","US"
"172.19.4.153","142.250.217.142","443","unknown","unknown"
